Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
10250,1434568,1004890,692210,136753,135253,66984,64387,201753630,356268,231990,61152,69283651,157589,80228022,81675,230199604,88431,683815817,55304,703959191,176093519
10500,1422182,1055979,722580,138843,134131,54962,60413,192024656,343026,230251,60802,71525385,215220,83460838,88819,222352948,90969,702017803,66241,684762170,172044725
10750,1380594,1029742,650290,139008,135494,51944,61111,205723414,361741,237800,70241,72309048,191565,84174824,90967,233818767,91404,737774160,56319,701754800,177425962
11000,1467557,1002982,698182,135510,138330,53700,61461,200998490,352169,245554,60090,81351056,184838,85126903,89214,247703103,85567,741806747,53406,738500578,180495841
11250,1493481,946489,794681,133186,135520,53307,58062,213031174,349203,258241,61480,80513965,237526,88494296,85777,246771368,97262,747208788,52213,735096141,184237501
11500,1401061,984549,666346,136780,153005,53851,60281,217124230,354680,263181,59511,80175121,146256,90286427,84381,254848283,86540,773787624,53242,752430954,189130791
11750,1523877,1077941,680109,134703,162608,52235,60853,238310388,353366,233189,59939,87617997,152688,90851705,83307,268821701,94381,787879987,51980,785970768,192409551
12000,1451602,1079780,666974,163468,166050,74067,72825,232812056,382436,242082,62288,84644053,231848,93960843,82141,261591577,83665,812447470,49524,784367219,198540260
12250,1408759,961874,713864,189498,163449,53383,78331,242729937,400506,271625,61192,108508678,143478,96672178,82183,293162770,87571,832153258,50383,803565105,201518534
12500,1461645,1025341,679473,187229,150811,51794,59624,236715033,390655,244112,62442,93430375,162485,97485540,81571,280167860,82266,831645830,50282,836293752,205607991
12750,1459859,1017350,748831,174066,154473,52536,59224,238973321,373501,303515,62842,88855640,203870,99505036,88345,292554841,82540,855193202,100724,831681526,210563247
13000,1333657,1018958,788039,181808,134449,53175,67907,245779881,2224402,256865,62328,89933982,256450,101934108,96202,328640593,83510,875449819,50613,852827939,213353954
13250,1419108,976964,759567,180982,133923,62264,59163,247709288,320078,254407,61954,92079044,211078,103468399,92520,357795278,83916,888061315,49850,863367087,221877409
13500,1501010,1137953,803120,174060,135643,53031,62939,255886500,337841,247447,61743,101040315,204015,108333167,86846,424287019,89556,904034410,51052,893845294,226201685
13750,1416354,1002413,775547,235576,141613,52831,61964,257758840,318231,237808,61791,119270036,194839,108168373,88987,351821068,118837,912513228,50335,904560594,225692088
14000,1376861,1038280,795258,203398,134841,71892,67078,313231512,312563,244272,61813,143660652,582165,110437665,90525,337187991,104349,946893195,51630,923498638,229133586
14250,1489840,961847,799901,207467,141978,52514,63168,354204745,311535,257156,62053,107005528,193884,113710732,91901,342885190,96533,985607463,51694,941153115,233727320
14500,1444755,1046239,797011,210677,129277,52690,55974,303351667,373463,348005,62111,114461963,166649,115723840,97752,384341339,99229,975694182,48844,946034203,240142060
14750,1525406,1093309,841973,162955,129702,62166,57162,283322965,333570,249946,61675,110123138,181296,117712856,92825,348213060,88001,990063480,52719,967254949,252083770
15000,1486819,1030749,819303,161769,131246,54031,57201,338104713,338819,248301,70949,105648145,169337,119788054,101430,365332892,97063,997972463,50798,999246764,246840297
15250,1423471,1116924,797405,160953,133262,53479,57616,298253439,355515,254370,61536,114249505,254047,122658159,91036,377342918,87331,1034553228,51620,1010368968,250805397
15500,1362264,1041225,810654,164652,128747,53958,58262,298242093,377102,264384,167253,114352350,193799,125398659,99947,395457092,89147,1058420779,50213,1014622373,256365904
15750,1570315,1030753,796153,169809,152257,53727,57959,404202923,327425,280924,62913,107663894,184170,127608954,102375,429624396,86539,1053199222,49828,1034597523,259876796
16000,1403689,1061710,802697,158028,133990,53609,57319,379283680,320819,255766,62482,109213993,210555,128055935,97521,422179970,102925,1071398806,49681,1048807127,275331094
16250,1396023,1111436,796528,166174,136657,53060,57078,348335011,326769,302390,62748,122492269,222429,135388118,98451,387321413,93756,1118060228,48408,1080845012,267708256
16500,1420671,1078602,827967,177468,162345,54054,57442,366306987,344934,246424,62423,112035584,155596,133217608,80661,409925514,2728978,1105064919,50232,1078660995,274533208
16750,1533640,976300,811172,237118,153946,57795,58971,340634549,357497,255760,62052,113929116,164220,133856986,97202,406966262,95251,1130699869,49616,1099351567,282168786
17000,1441910,1023469,803672,140122,139508,54406,57884,340102334,338065,234599,61928,120437000,180352,145048668,82629,436729994,99307,1161202030,49457,1109601825,280016666
17250,1508758,1100892,812232,144076,196740,55565,60195,385432176,332522,252644,60992,117462161,197977,145008980,72438,419784164,109288,1156801566,49168,1135902889,296307136
17500,1496273,1013923,878550,162039,131622,53847,60852,366971589,327954,287959,61517,119093984,174245,146841488,98181,431651775,101548,1183478140,51817,1148222521,304632200
17750,1421581,1045418,868615,146572,130881,55239,57472,363129128,343716,300837,62425,120239091,222706,147959387,64791,436640122,91468,1208710500,50483,1164339804,296844433
18000,1474043,1069275,803222,163663,129086,53671,93282,371280879,330409,255199,92346,121165103,176407,144107235,62661,475596524,92269,1245071325,52246,1179976644,297298358
18250,1599652,1048508,813991,195470,128969,53618,60119,394726796,335585,241293,61605,153928953,159479,147617507,62709,478385907,98843,1220173098,51082,1196908018,301257489
18500,1479014,1097731,827445,206753,159488,54061,58717,374758189,347588,242607,60844,138565392,180105,151847188,60303,461971669,121037,1241481912,54814,1219893149,303840025
18750,1484852,1008122,893800,140864,155756,55103,61653,444938734,356865,237196,61008,128811550,229970,172032418,61223,474021608,110355,1277593485,66649,1236308151,312962113
19000,1531894,1075055,789808,142746,140892,67503,58809,406222719,355052,258295,60880,134333415,161795,153450619,60040,474312782,102797,1286110036,55552,1251177257,311931668
19250,1485468,1121281,831889,152104,139882,62394,57236,383415188,342068,255602,61435,138629858,217305,154837080,60984,485938254,107463,1312665321,50598,1277343404,316902686
19500,1502352,1050503,893635,155538,137054,51742,55948,383772756,331756,258036,86776,138402485,178905,160636501,84669,485598317,100196,1304183497,51374,1300124548,327412617
19750,1519324,1107387,814362,155077,134204,53898,56526,412402345,338696,295478,60529,131033579,166777,159802900,62393,494394393,136756,1328339704,52070,1321567553,329169075
20000,1428031,1102821,812817,170835,134252,54544,64958,417498083,346794,246213,60930,133461311,175416,163778390,62447,498174008,107086,1347371618,50762,1356773962,331182882
20250,1455270,1035047,799840,136347,135050,52400,54787,428547269,348049,234989,60094,133572441,190229,168537640,76714,517646974,102429,1370676496,50024,1336773041,333578087
20500,1609124,1039431,873513,140956,160343,53423,56855,447995903,361181,243215,60961,147339211,184295,170003113,64399,532077508,112098,1368634463,49067,1346942189,348855718
20750,1519122,1127518,797435,149055,173359,51710,55098,446882996,357579,250577,59841,145438339,154819,170378265,60281,517971413,110291,1394032027,49788,1374745539,344327718
21000,11455842,1063264,826831,135287,143628,55102,60246,429485516,339281,264113,61126,146318889,155151,176846680,69727,536364773,92256,1415028791,49953,1380876651,348486145
21250,2627569,1107721,788414,172346,155472,56468,58670,429967436,382082,285157,61550,143317206,158760,184329117,60785,564090766,87855,1432758428,50069,1423795813,350578640
21500,2964188,1074096,791023,158171,127671,60674,56245,458632090,350530,378996,60837,225725646,189138,185292993,60330,563830830,86628,1438002985,98300,1425169610,361971997
21750,1623461,1164989,786116,138169,155704,54006,56054,434697501,384076,260523,70074,164380087,176213,194403437,59766,544930534,85257,1464836550,48514,1431259104,359346913
22000,1483654,1147989,824622,137150,140184,52200,57742,491916162,365304,261169,93632,148366984,210821,195111044,62501,559718126,85071,1528057339,60327,1455777807,364419220
22250,1461739,1063523,824897,134035,125392,53544,56649,482716804,360021,395877,61348,171337145,236431,192214029,60818,567750346,82392,1505013196,48790,1486612693,369393199
22500,1485614,1151677,799370,136284,130221,52607,58338,454355826,358556,292019,61427,183230706,153700,215277015,81075,589001086,96465,1528508062,64929,1498574015,381236747
22750,1556300,1076496,813638,143275,130272,53927,59827,484116158,346125,275806,70668,165025994,150467,248008427,65927,595380822,82699,1553831421,50005,1547577197,375488678
23000,1461588,1058632,810244,131001,126066,53658,59488,490206964,346013,280833,61590,151088730,149971,206447153,65056,589905400,84525,1543773419,53735,1525873088,382561266
23250,1639039,1110772,877160,132125,125765,53937,65345,476191796,360615,419507,91620,153194362,154445,222217687,64330,620544602,80111,1580185037,49740,1538224159,384228640
