Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
43500,1724080,1163236,824360,128449,138296,52199,57731,984572675,338086,264772,61592,462678350,157867,460766601,76910,1054506639,77886,2974469481,47609,2894204710,722622819
43750,1558897,1257218,820504,130101,140808,53575,60136,964250529,361233,291117,61992,424568854,182630,489036325,63345,1056877345,80531,2989705745,48534,3018280286,727037959
44000,1573599,1151646,813402,131360,140422,53946,57898,1001220953,504184,252936,59673,473810644,143587,495003564,62034,1049712330,78551,2979715670,48638,2941052784,730129100
44250,1679829,1208194,835054,126530,157311,53547,55623,1024172976,381793,259470,60508,368409779,154288,514788817,60548,1049133160,86325,3037221332,48940,3026415363,737799011
44500,1697901,1235841,826580,138790,137820,53752,57052,1048542819,357845,295750,61061,383518091,197163,499755821,59567,1065192674,81365,3051713151,48743,3056141559,749344570
44750,1632372,1239613,837033,150506,137838,52108,58345,1055715623,414709,268180,63279,424109024,163248,482342782,61859,1073008445,82006,3045887697,48701,2979667227,744165291
45000,1795980,1191497,813600,140284,6101511,51520,56846,1039237174,382510,275821,72808,373313028,164669,510277550,61272,1081486176,82020,3063992094,52867,3012300485,762950459
45250,1652993,1214057,871351,146247,135338,51121,57769,996090218,361532,259895,60726,391553031,169217,531644796,63879,1080549173,77498,3095129304,49534,3097849998,752998868
45500,1980094,1370760,787010,135138,160855,51228,57554,1165378452,365083,250650,59755,416438969,168599,501738836,65028,1081665942,90961,3073183853,48650,3166485336,762031308
45750,1638246,1220090,825029,133939,185440,60801,58141,1059800879,403703,257760,61220,524107933,166199,523057037,62275,1099575879,82161,3071673252,48725,3048295037,761021861
46000,1600442,1257690,821505,139946,138971,52005,57188,1038869307,370361,270111,61666,529397092,162574,531361171,59833,1111736307,104801,3106864931,48062,3185025876,763076699
46250,1715018,1303047,856938,129398,144158,60267,59311,1022746283,345135,296552,61341,491848732,162884,527424034,61629,1100764413,80674,3141056111,48017,3109119187,772986643
46500,1563356,1131005,872572,130245,137417,52308,67066,1068593526,352227,265883,61366,477990910,158870,540803665,59494,1100695630,79326,3217571278,49089,3099105730,779922645
46750,1725897,1146479,928373,126698,158147,51853,59606,1000202467,395008,256611,61354,476221889,173744,530165054,62257,1096994619,80019,3174596330,52925,3143795520,791920354
47000,1758476,1332477,901633,128246,139553,60419,56981,1049117057,403291,263451,60989,387575869,159995,592093242,61685,1105036799,78476,3174071040,50512,3283745011,786093939
47250,1655862,1243710,850316,129000,138119,67374,56028,971228747,391091,266405,61536,349003991,167723,578388417,106414,1121810663,82956,3211070881,50009,3186863087,803935660
47500,1686044,1222406,854437,155227,148439,51388,54822,973578507,386270,267917,59237,403620525,160184,543307461,59577,1126635528,78501,3204008874,47902,3342189219,801047241
47750,1803530,1223917,859169,140317,144729,51767,54698,1025810947,355614,287941,59704,371736375,125958,547914474,80986,1133790866,79303,3253029094,50399,3184278464,791821254
48000,1653256,1206040,990282,136237,136529,51900,56185,1116811561,347101,318738,61445,339534260,89313,558617229,67987,1139163244,82170,3258616344,49865,3313001683,797141971
48250,1654736,1179901,922975,135249,136475,52314,55690,1121436037,370045,347942,61169,356153180,100879,535347847,65718,1141905230,79343,3311041568,48564,3221443267,806384838
48500,1627280,1219634,848539,135126,146940,52625,56425,1130442424,396517,262687,59760,330618673,238466,576542861,63077,1137717728,82230,3304223099,48129,3258681680,811347385
48750,2146713,1314714,890219,131908,129113,50826,54990,1159236880,378762,269345,60796,360748739,153930,575583279,61624,1159367428,77247,3356846500,48573,3264129106,808255322
49000,1815030,1225356,838931,130938,128801,52468,55407,1147365376,374744,267506,59691,349352963,182325,588245347,58838,1148228204,84875,3377703184,69871,3266385280,822579675
49250,1790259,1191489,847818,133225,142259,52802,55919,1039767588,370043,281353,60978,361590585,153471,617334433,61910,1157619532,85356,3353181536,49746,3290385485,826671120
49500,1883526,1278824,836420,140274,125375,52026,54152,1032837502,390268,298571,60543,355489247,145428,598943190,88243,1151409187,78536,3421639020,57551,3303679585,849475397
49750,1602249,1286521,879438,136770,161565,56068,54963,1063548211,384235,293972,60323,352557460,141419,600489637,61925,1164688754,90323,3483387326,48492,3314959517,831476644
50000,1573758,1184285,837270,152839,131023,57096,56645,1067078071,366034,297494,60451,376031046,147936,604293804,63896,1186610526,78991,3387930911,52481,3342949129,829998563
50250,1687606,1339657,847927,133293,125329,54554,56091,1231769908,387467,337832,60818,356482835,171091,598267674,65298,1182713364,81047,3415612433,49192,3382843647,845821280
50500,1723655,1214870,854695,127207,88066,55004,56632,1232414018,405580,278058,72848,375148147,142805,605592424,62506,1178490619,81766,3458863240,49398,3372819164,840067195
50750,1616121,1305529,953143,129289,77469,56236,56838,1238379573,5381649,276666,60977,370646220,141312,611383840,61502,1190706641,78024,3464537151,107233,3400736284,846705797
51000,1652841,1256177,867162,127151,148045,55613,55449,1098308139,405479,285089,90859,389804196,143458,632995516,59737,1187719653,81188,3497067147,50418,3405920096,848764955
51250,1684778,1279758,844074,135707,124595,54289,58095,1097941255,366031,298001,71532,405813016,139021,650850172,59895,1214086064,79816,3534056250,48108,3424456482,852028840
51500,1609676,1196694,848878,146222,141429,54716,56775,1085889436,10320287,268405,64585,440120651,151514,670929248,60689,1211522378,79874,3506260169,49271,3428849282,866095941
51750,1722796,1202043,869841,126145,126536,56233,56503,1102224710,305074,254588,69191,375571933,160502,643523332,60641,1201737339,79316,3600636341,48557,3594917067,873845631
52000,1593289,1238823,886893,126220,124864,76652,56307,1169609567,384890,255556,68386,408598497,159513,651692401,60509,1213148600,77884,3564617119,48464,3485236815,892090038
52250,1838493,1230047,880575,126099,127060,62241,65189,1152929375,416489,275760,69306,438497844,156904,693422848,62315,1234256416,80487,3525199441,64912,3527148692,893017429
52500,1671658,1229378,857364,135963,141804,53134,71180,1148305280,388331,293665,69035,375471564,194623,663280501,66009,1218719699,76510,3556203927,50141,3590083435,943597821
52750,1650920,1325660,846802,124396,127456,54055,67142,1214454924,372292,279339,69602,375003397,153040,712844216,63998,1228369168,80500,3601232684,47726,3583568019,874384150
53000,1729152,1255609,854405,125800,131529,63537,55775,1220255872,383945,284963,67733,392626757,175340,660479543,61474,1233934905,84509,3652850377,52006,3530057150,885529150
53250,1584588,1194716,871205,125143,130104,52483,83635,1255095455,373281,287553,68631,476424613,147727,690305380,61110,1231932235,79398,3633705462,54695,3538771539,884835953
53500,1580034,1246734,851168,122937,130443,53426,56596,1360555914,339468,283762,99489,547234643,177569,697976491,59703,1267944247,82729,3684616946,50630,3540927670,887279145
53750,1690645,1224942,910732,125404,128361,55571,54817,1366469428,325449,283326,68678,493431987,163583,691868629,61426,1259104158,80435,3687824487,49577,3589176327,893067857
54000,1680943,1180737,870279,126069,127407,54613,54645,1281761028,327254,274859,67986,464522417,164075,690815907,115836,1258744277,79354,3698471359,70126,3610113406,918840782
54250,1660935,1210224,855974,130941,132406,55156,55324,1294510049,341981,285367,67940,455353824,156271,686207060,67533,1257979435,80377,3694746996,51470,3646008623,918428773
54500,1835498,1292507,867652,132448,132311,51290,58000,1253957673,342083,297969,67519,439877676,157122,700678791,64432,1279372459,83407,3753681156,48409,3625929750,918826933
54750,1663632,1198587,865898,138165,131835,52504,55929,1291039007,335630,264016,70051,408037415,157403,709732157,62399,1267884267,82672,3686775967,53756,3621328760,918608270
55000,1690670,1258795,840957,142435,130242,52268,58192,1266538506,337400,281703,68945,469862552,180681,705140213,63025,1277426260,78898,3720630790,57076,3676078579,946987167
55250,1639639,1233226,856855,134191,127813,53021,60887,1259708595,320303,281053,68119,551589405,149974,704731117,61451,1282567617,79753,3705076536,53881,3719431549,919421597
55500,1633737,1217574,950742,131310,136229,52151,55928,1289709881,320285,274183,70200,493831586,149828,698874041,75704,1275793807,78715,3734738776,49425,3664410620,924718213
55750,1822026,1136860,942611,132455,129175,53726,55058,1239785458,336534,322622,69407,511841374,146902,740202264,62307,1286670350,83858,3769441449,54078,3704235136,937050372
56000,1586568,1201754,577547,146351,138491,53685,54486,1237185600,365421,286895,67245,532194331,154665,737653446,62172,1291378255,82593,3772302295,52946,3698258999,934462722
56250,1629348,1327358,866053,131210,130361,53268,54050,1254974803,353978,277128,69196,547624964,159230,728032232,62538,1289932569,78871,3777980713,48968,3739422582,975101294
56500,1650479,1167951,911689,129429,126333,53822,70353,1250448064,357725,323819,68204,491778090,237618,726991287,61376,1307561131,82595,3790922363,50484,3753402830,954583011
56750,1701883,1312370,913736,128776,137688,53191,55858,1289435062,324982,261030,68142,464629545,157886,754341548,67657,1303620987,78744,3819551290,48633,3787589555,942137252
57000,1591121,1256801,871901,126190,124579,52993,56531,1245315157,315730,280359,69930,535788651,150877,744011383,66518,1322272071,80058,3921133493,51814,3853256018,951308046
57250,1687411,1246499,847735,128383,129733,52195,54353,1334648343,318407,290512,68150,437928408,151785,733282683,68035,1322239415,86436,3888142512,55193,3789162878,960146322
57500,1615832,1180004,876434,128679,128668,54102,55007,1347352100,328851,299238,67634,532618038,148410,767327883,63171,1319871592,82269,3899375348,55906,3825274481,968373485
57750,1723040,1335641,860959,128246,127665,52552,55919,1345095213,350401,261396,68498,630391900,149503,777336170,62506,1333881004,81025,3912433304,50350,3843550343,977146433
58000,1796530,1260619,845011,128107,129557,51986,54860,1357935860,354592,324735,68780,609427675,158211,770462252,60295,1320297723,80333,3901724018,49697,3837779653,975747543
58250,1574631,1303265,799096,128886,127225,52451,56120,1384785416,334042,366953,79023,793140843,154743,749214837,131364,1350973457,82303,4010758115,49886,3868241725,970333845
58500,1639558,1259079,934732,130111,129456,52905,55654,1455880806,331654,267753,105860,718757074,175006,767435324,66847,1343229128,89251,3970698078,50190,3883978493,975169824
58750,1653068,1231294,807466,124458,129679,53131,56041,1473908839,328879,321165,99364,648365472,166560,798113178,64013,1365860356,80159,4004442195,50127,3937105214,988333220
59000,1677095,1211219,815675,137096,215153,54172,54102,1423992697,362257,280675,67567,556037554,169662,783070232,69214,1349758768,82678,4013752020,69866,3926769799,1007623209
59250,1704954,1244112,889078,124286,164671,53183,53752,1393867053,333944,281211,69335,597527318,158471,850093846,65602,1354801326,78771,4052151629,48844,3938438803,986183744
59500,1587997,1253401,847737,151077,146595,53106,54151,1384047017,346603,279289,79297,743217475,163937,792932009,64667,1356441019,82472,4044841863,52367,3951404112,990885454
59750,1550509,1169217,802402,125143,141901,53280,55547,1410361952,364357,270797,68323,728969118,154207,790621380,63815,1374464014,80250,4038260446,49569,3964104131,996051596
60000,1772596,1248362,804132,124452,174349,53427,57397,1400356191,417522,259166,92308,867495638,161763,787760313,62510,1382291499,81562,4057091228,50784,3978334226,999766722
60250,1641947,1281471,805669,127273,144376,54128,56854,1383138840,333249,261749,67457,762914404,176250,827527566,60982,1409446936,85087,4104008762,52928,3993718611,1010941226
60500,1558753,1195330,817368,123836,140266,54024,55921,1430056712,349642,287323,67846,798963581,163772,827467918,60175,1403167795,79758,4113581184,48059,4024501939,1006413182
60750,1684967,1211213,878674,135465,145654,54423,55263,1488108799,335473,296583,157495,551913527,159254,847937976,59558,1398127593,83998,4098586810,48929,4040881086,1025925012
61000,1609867,1309182,800949,121911,134032,54049,56716,1478101171,354121,284618,67121,661709304,185552,836281440,63399,1385516904,79714,4136349306,48685,4042231326,1028482533
61250,1718585,1186157,852074,124566,133274,55037,57355,1354858685,354519,280821,68364,546824941,165297,850252934,63808,1391215958,83210,4136543966,49190,4082013017,1015250214
61500,1648571,1254959,803164,122430,186591,54706,57499,1334079015,343209,295609,69237,490683556,165913,900288000,66932,1405563170,86273,4145336837,49429,4063597679,1030863341
61750,1597188,1279330,792019,124392,142387,53462,56302,1357175470,348611,280915,68082,527626032,184390,921868396,66719,1399257616,81885,4154057341,48047,4105104733,1050323762
62000,1622585,1271333,806316,127205,141329,54235,55359,1337023323,351829,323837,68502,652968011,162993,876667382,63371,1408600675,85072,4203578563,48686,4131422863,1046058117
62250,1722801,1292809,814183,122870,139648,55404,56095,1337259309,327477,286842,66923,634118490,160285,995071760,63109,1414596087,80546,4197926858,48767,4124775672,1043571755
62500,1613581,1429896,867419,132998,138302,52399,55036,1445753947,338359,269854,67361,543015779,175315,958383572,61730,1427529663,97248,4230231355,48850,4151886904,1036737771
62750,1803753,1240244,800061,134067,154615,53113,56229,1455645377,372441,267084,68183,472946816,222324,1022326625,63557,1425624717,82387,4284588488,56085,4160253681,1043865766
63000,1639331,1203229,899980,121018,145024,53550,54976,1377779775,360184,280968,70379,514752591,249878,862811765,62899,1436665873,79600,4323369989,50957,4209442664,1053768810
63250,1669946,1249646,837074,125776,145078,52858,55570,1467812714,335647,273241,67634,452370118,188596,974625697,64853,1452594225,89963,4376487216,49258,4195732803,1060184188
63500,1773232,1288774,798535,185083,160874,53757,55971,1422779274,337441,269741,67483,602449181,158052,906175027,65661,1435099017,89696,4303633503,49397,4215351863,1059221220
63750,1636814,1195221,824518,131604,158857,57162,65052,1377197766,321233,282366,68089,608674495,173726,941918658,69557,1440095037,92730,4308587660,51666,4236346811,1073944288
64000,1640540,1259040,819149,140567,152090,54065,56640,1405369116,323849,386508,68078,466194075,153407,949783797,69312,1459497242,89483,4438717457,49781,4259614592,1067485615
64250,1777067,1414005,808548,129280,149228,54518,57010,1444945021,330639,319469,67738,513805632,147967,907587584,68141,1465331175,87864,4363353914,50968,4265819900,1112965492
64500,1702313,1238366,788463,127505,148621,54072,56402,1549929514,355369,288082,69876,464854408,177307,931779084,60479,1457371264,101549,4397285693,50263,4284511809,1086647245
64750,1757557,1333505,837629,126339,151143,53493,53370,1921886659,351613,282152,67519,469519615,167728,881317694,60770,1471853723,92394,4374781033,52062,4301218063,1096150527
65000,1738818,1316302,828409,126890,139148,54872,56184,1549688693,362611,284688,67451,511347763,170233,858461895,63961,1482396257,86268,4494091350,53338,4322706630,1078495489
65250,1608628,1187742,798989,130411,146478,54928,58118,1557126992,337345,317541,68760,667696856,171094,887518608,62496,1483058102,102458,4473957109,52535,4339142774,1085797095
65500,1723226,1229140,799358,127687,139849,54386,57022,1494739695,331679,278935,67602,850099995,163581,861508420,62531,1476684586,85614,4430956435,52746,4368974976,1093137934
65750,1655887,1317359,858796,151653,154532,54195,56361,1392559064,330508,266132,66181,661684933,266732,893142060,66005,1505295912,10123223,4558069188,51275,4405135206,1101805862
66000,1694859,1281274,905096,168541,137435,54068,61002,1564903818,363412,264576,66529,691163602,198223,906030135,181126,1502427884,92195,4549459645,50100,4441135649,1102893043
66250,1703525,1319083,854574,128621,135437,54094,61322,1566194762,380863,282944,67024,615770680,156503,1110915531,64550,1501968509,88906,4570205869,51709,4407706542,1115153084
66500,1627653,1282307,852870,128079,135093,54902,60291,1535598398,362276,264123,70224,571688180,166236,908251243,64561,1534555555,87992,4585265251,54445,4467653826,1127621078
66750,1644736,1211462,835732,129728,131913,55989,58148,1563038797,347349,286027,66925,639225004,217125,910101792,63798,1502005801,90011,4592843754,50623,4434834291,1131675937
67000,1625574,1165398,839327,143073,135464,58960,58152,1556685371,373200,285040,67237,673572346,219214,910021978,63398,1508363203,86406,4531635852,48893,4455498508,1166253817
67250,1629185,1211882,845672,128853,132487,55906,58430,1444228600,428552,293759,67077,647897236,151018,938597110,64336,1512392877,89859,4576276388,48582,4531481914,1133577669
67500,1810788,1339320,857335,125528,138238,55914,57586,1502622913,441240,275527,67862,625764210,161146,980858538,67955,1541560479,98020,4656541863,49795,4503600865,1125574174
67750,1641704,1159756,911739,136948,140954,54944,58396,1643814100,353364,274071,68530,664764149,166269,918927899,67894,1529632329,92201,4683010197,48685,4534616214,1134632507
68000,1648572,1209850,1032341,133105,138690,55247,96062,1530275794,431652,264015,68283,601770978,176607,983706088,66493,1537240899,89396,4730780578,49424,4507815330,1135879357
68250,1780572,1336887,887704,133309,136726,57888,67913,1605104411,361389,282969,68154,656444688,150873,976960496,66243,1545818615,89435,4713140094,48734,4528517518,1203929149
68500,1666460,1283187,847181,147516,138568,58114,60293,1635434067,417598,277503,69223,561761098,180846,1085637773,69014,1543232816,109577,4778719509,71607,4571700331,1153029893
68750,1690594,1206547,852140,136788,167599,59113,57305,1613956350,428055,289575,79076,549162418,315276,1195217481,63540,1558534618,96194,4797706446,73289,4582559031,1148934963
69000,1703822,1283343,983513,124399,137001,59008,58159,1600931402,403633,336219,69425,539539389,157119,1167542305,66020,1544772237,94486,4722313636,57256,4582557554,1157317821
69250,1605476,1243900,842626,124729,139478,77424,56796,1680966393,383439,269195,67498,597358825,154726,1088037144,64992,1566761940,87113,4727082690,52172,4600532842,1162920340
69500,1775968,1212961,847013,126040,132227,56521,56976,1626738337,345225,278178,67451,560366856,154445,940604009,62617,1572142752,116448,4893667507,49251,4604175457,1162869226
69750,1665011,1329818,874935,125364,136658,54800,58728,1518009008,338707,280169,68641,560349680,143407,1168789638,66238,1560682638,90279,4744352684,51126,4642874689,1166043965
70000,1611523,1259513,891185,124176,135465,53616,63705,1587961525,343642,287359,67887,581104458,147480,1266321521,82797,1576165523,87868,4787325526,53313,4643511653,1188126815
70250,1818185,1215248,914343,127819,145378,55632,62959,1521165714,340233,353858,68721,542621944,146753,1101794609,67646,1587601760,89901,4889158152,56838,4678783613,1173244444
70500,1820946,1285139,851436,126559,134554,58518,71246,1662444175,363784,274967,70341,563851394,163917,1326167943,65245,1612083173,87559,4801398978,57690,4690718696,1207382798
70750,1744742,1264369,878303,126425,133813,57412,53685,1667912576,370330,265038,69529,557467807,263254,1120592277,64504,1611255095,87284,4980240957,49778,4710907254,1210720179
71000,1715209,1236015,852348,134439,130585,59827,53620,1589468556,362186,267284,67957,596760014,153143,1070457929,62706,1616354518,88727,4943150749,50221,4713893328,1208605451
71250,1614721,1228677,892838,123251,129540,59353,53486,1461533423,348507,322520,69426,599025559,147013,1118227448,64447,1622484838,83521,4853807666,50772,4731713587,1197221825
71500,1709283,1509439,878492,121068,144059,62098,55230,1639446421,328701,319842,69775,578297503,142831,1223107085,64326,1619719587,84102,4878129094,48820,4762421702,1199627908
71750,1919137,1356059,871600,122594,128345,55515,54984,1694321552,327419,302137,68559,594113038,157396,1056882297,65571,1606203623,132329,5030883050,51816,4774531317,1198678356
72000,1640157,1388263,846256,120569,128750,53762,55703,1786330255,349466,301022,67535,583163175,175042,1008709194,60933,1607712565,81652,4896617071,47888,4805803156,1201247522
72250,1807375,1307074,907503,125380,132777,54802,55290,1674396303,379360,355858,68397,594453498,158690,1073316244,65519,1636140997,87561,4938731149,49565,4800206340,1210964258
72500,1622663,1272778,881140,123680,130293,55043,56581,1703560854,367033,265653,66676,611540268,197762,1174973527,68395,1620279489,84484,4912985433,50040,4867500873,1237617891
72750,1635547,1223380,857435,124064,130637,52215,54345,1694398072,351952,253322,66662,629278652,188455,1076734544,66317,1624517027,84110,4954286463,48139,4812964576,1219088119
73000,1755589,1309769,885502,125122,133605,55082,55169,1634529469,355496,261735,70556,569425445,168652,1023263932,64392,1631788093,83856,5063746662,64713,4891913628,1238642676
73250,1900278,1223983,843871,123329,131765,54349,56094,1676916198,339098,271059,67816,586243406,164890,1053949462,64786,1640172557,82992,4949111698,49559,5043654660,1227906458
73500,1761915,1278587,859085,126078,132031,53323,57370,1653325925,341913,318562,69060,621137689,161702,1160182659,66356,1636667738,83855,5125620428,49637,4913336642,1228496307
73750,1726809,1477748,924364,150285,128496,70612,52334,1626038495,380876,283086,69416,601692503,140736,1150087329,61785,1667016146,83060,5034661995,52764,5041334084,1241154147
74000,1621688,1285337,876570,125087,130155,53800,53947,1625623115,364385,263997,69769,588553836,155057,1210084829,64425,1670688882,86026,5017528699,48466,5025454765,1244245387
74250,1680898,1321368,903802,131909,176961,53322,53958,1635506779,346224,266545,70023,619814465,157383,1053826503,69380,1688862545,82476,5011484070,50289,4956189511,1246295159
74500,1717667,1213513,886562,120720,158817,54339,53377,1686088193,340357,301411,70726,675491034,172429,1058379337,85027,1682079007,81388,5023833248,48989,4973291154,1327146049
74750,1677810,821374,887228,133075,151611,53701,54790,1654828119,341975,272653,69711,640877816,161210,1060172181,65665,1672832036,88543,5218572110,50261,4994246054,1269438996
75000,1913103,1170327,846526,120932,141670,52963,55538,1701274817,328943,278670,69383,599157851,165410,1103533849,66380,1691472495,88499,5092443959,49317,5021625943,1277200156
75250,1722462,1321365,851059,122092,139092,54357,54376,1643771997,348924,265976,98027,630975950,101647,1100015396,63992,1722163486,88134,5283194742,49526,5055318314,1265911928
75500,1769023,1366589,841322,123731,138327,52288,53507,1680532876,358354,265565,71585,611764774,230706,1101523167,61024,1703306880,87876,5132226076,55579,5058584987,1282582696
75750,1775325,1288776,844555,120210,145600,52676,52855,1757529688,435202,261775,106538,653489164,235369,1107614096,61795,1683370087,83811,5221303976,66055,5072929473,1284875818
76000,1646158,1326812,877120,125021,152572,53956,53237,1853360611,396142,334499,69759,619977799,154772,1173569515,98603,1696124334,101020,5233415937,56429,5168733358,1273642276
76250,1725954,1245364,856940,121408,156397,53813,54669,1778122308,371652,262543,103366,615546906,142592,1100690774,62000,1694561249,81248,5245128142,49920,5215674976,1306096628
76500,1639733,1278175,858573,122804,194433,55158,54014,1752990879,367962,281152,67162,702963950,161786,1115825581,62408,1714544599,87690,5328040549,50458,5297374894,1306900637
76750,1592543,1308761,875766,126174,158482,55131,70375,1707613730,414787,323098,69289,642260885,143752,1151896373,67156,1712102626,85726,5288708088,108535,5369545114,1345168051
77000,1673302,1226910,906046,121667,149805,55258,53993,1766476455,378643,284803,67742,641209962,213666,1115694890,67459,1716411924,86687,5327328370,50480,5366997262,1316928680
77250,1839959,1196003,869762,123738,148074,53555,52672,1929691222,378298,258607,68952,670504285,253647,1126071951,65930,1718332720,86595,5414173177,50865,5367107791,1327298393
77500,1861834,1305947,869680,124387,149340,53144,55529,1966817436,447209,291524,69658,613503624,209589,1202815722,67352,1733793861,85332,5366661520,48433,5356217133,1301932973
77750,1720740,1478777,867133,122773,144806,53753,54318,1735257172,409243,273477,69219,608601115,154198,1189385555,64295,1729495017,82875,5375776326,48964,5295064081,1304117187
78000,1623290,1197471,930207,120662,142299,53473,56901,1796825644,389476,268652,68905,660674214,168758,1150360267,64613,1754539996,93635,5426452892,47685,5326643755,1302850306
78250,1733608,1279974,911362,122973,160755,54064,58009,1825783541,377176,293266,68832,744398454,236361,1125126612,63386,1754107859,81076,5342519502,49586,5236416016,1307047274
78500,1804079,1332813,833578,127580,143646,54022,58955,1844027747,439997,306752,68622,658608464,171932,1174128463,77392,1735979729,81499,5304426247,48243,5369889385,1312360906
78750,1807808,1225118,895332,141111,142665,53696,59017,1875887378,447237,357748,71219,676209363,158352,1190666113,69206,1766353307,94443,5361729979,47599,5270198911,1320094304
79000,1747407,1284314,844611,131361,139660,53111,62469,1893195163,381394,268028,88251,640748982,160694,1212131683,68774,1804584345,81327,5401868448,48443,5401690004,1331067946
79250,1645993,1343264,891879,130671,139205,54348,61699,1899837689,362027,297213,78288,703876757,168213,1203227220,71906,1756462903,82611,5531383795,48161,5313221173,1336709725
79500,1698266,1200431,853444,129235,133900,55173,81902,1846321145,337383,294342,71287,701407705,197112,1239635368,66676,1768190270,80557,5444891451,49016,5327567927,1327247309
79750,1731013,1298239,866333,128763,136222,56592,59614,1903086446,367632,266357,71016,692039903,153902,1192841140,62731,1764375349,84653,5390804322,48530,5340139734,1332621014
80000,1654032,1378911,839071,137610,137198,73198,58312,1849888060,443555,265844,69136,769394692,150780,1235697039,64706,1776167462,83258,5526797395,48272,5359066567,1342049828
80250,1832231,1260367,879529,124607,137578,54099,58590,1856330459,364071,276230,68345,672279371,170881,1286640928,85650,1800759152,92747,5581958181,49078,5395325059,1339150355
80500,1754231,1286314,938680,144872,136276,62953,69968,1836293190,347342,260065,68731,754016840,168906,1407568734,68102,1796990399,84757,5593110361,47507,5498682929,1347199398
80750,1650182,1362040,930408,125127,141959,53991,69688,1866332462,329167,296555,68156,724890298,153688,1265381252,63483,1796294453,93067,5616506526,48820,5445238419,1353080746
81000,1770216,1249659,853123,152589,148220,54888,70942,1862020445,341326,279074,84571,672506146,217181,1217884650,66422,1814192562,92875,5645273303,47584,5553304995,1361057340
81250,1599997,1292969,864160,128285,130442,55312,68962,1887257423,337662,286149,70381,757834262,158238,1231829527,66657,1802424733,91011,5557609427,49453,5465795649,1370879618
81500,1747763,1415388,870921,128731,133959,60571,79701,1957825129,359321,294748,70198,684304474,180044,1364113650,70444,1804351572,91979,5604069116,50397,5558497867,1366641213
81750,1696337,1316922,870643,128426,133871,56784,72596,1960496581,344014,279434,71090,1011369598,174870,1242347744,67849,1815143420,102911,5578138986,49456,5601536203,1378141168
82000,1643874,1281671,841427,176610,136224,56349,58819,1885692410,390860,273991,70622,823075520,166744,1225275639,65506,1810117817,93887,5618909978,52057,5546887332,1373487979
82250,1746238,1304039,854407,130986,135598,55540,57582,1835599146,409727,268993,68432,962390893,154288,1294377320,61901,1813557374,90659,5593551309,50314,5511151489,1378469183
82500,1811040,1327462,873945,129841,143519,56050,56433,1854950143,357448,273033,69489,788164192,154023,1401079707,64495,1820353372,88645,5665575702,48115,5634328410,1392699097
82750,1798646,1379487,850542,130768,145539,58529,67554,1822628715,361063,285218,68542,893448887,151696,1261459142,64097,1830851195,88260,5700917532,48132,5549009287,1396719354
83000,1736752,1563752,905921,130590,142883,59893,56911,1919342143,366140,307193,89236,971756364,187772,1226186078,65113,1834844338,90437,5651169466,48780,5708428471,1397239148
83250,1712615,1318506,856367,140255,141770,57513,73335,1956332507,356419,281960,69078,855372882,159793,1172610782,69790,1854198580,96409,5762458564,58982,5580314226,1393091820
83500,1720830,1211553,910975,144185,147334,54544,54066,1927387689,388377,333459,69054,718584135,156983,859296738,69278,1849272678,90733,5793633236,47533,5589808105,1417285155
83750,1846609,1278300,892276,130527,150807,70889,55996,1987933337,364765,273519,67390,611274873,167637,927176387,67181,1854892164,100100,5818300852,49433,5617235127,1397237153
84000,1802979,1257757,882734,127919,135210,55778,57450,1984777360,343306,317078,68252,602981852,157444,980197715,64439,1871596803,103624,5765844802,47515,5646897514,1407779300
84250,1755353,1287539,882055,126822,137154,53353,76510,2001233576,381428,341356,69727,606587918,231040,1165940070,66165,1885084100,93915,5794239454,48413,5811222675,1432914530
84500,1755407,1452271,891204,127108,139598,53684,63535,1929381081,350701,294389,96712,841436914,151119,1399986186,66770,1874649473,154973,5882488789,49121,5678326155,1407889008
84750,1658923,1354239,860310,128572,136052,55189,57755,1967044132,364519,281626,70810,1035009305,172838,967397081,67730,1928145314,110629,5941377480,49885,6015092339,1432021982
85000,1896070,1236898,869770,125545,137497,54209,54561,1989802175,420144,267718,69612,990827287,169434,886620216,65423,1923768001,90050,5808693670,50160,5815934262,1425240506
85250,1676481,1318723,845357,127520,139235,54978,54438,1905326894,428948,263054,71034,914146428,199816,1074301764,66765,1910331200,88248,5910128202,48087,5723517841,1429068322
85500,1712092,1308903,845487,124218,135209,55477,54177,1906222448,434976,268910,68651,853373355,148536,1019808175,67230,1902326595,82411,5835688638,55014,5721479691,1451026085
85750,1797542,1306059,873196,154765,137429,56974,54075,2122695743,363814,288929,67137,892800052,213489,1037418061,64851,1920467448,98994,5820281990,94476,5762430878,1456984144
86000,1678102,1445672,862160,137747,136450,62548,53015,2274790610,341472,288459,70023,773430790,146778,1044624661,66935,1916544999,87578,5856176449,54825,5757532154,1442379519
86250,1911699,1396438,1016621,122066,134812,64670,55478,1982265793,380714,269456,68241,654161365,167250,883632681,66314,1898480942,84954,5855470718,69252,5734615435,1450558078
